country,year,applications
France,1964,16654
France,1965,17509
France,1966,17467
France,1967,17347
France,1968,17561
France,1969,12974
France,1970,14106
France,1971,14962
France,1972,14807
France,1973,13458
France,1974,12706
France,1975,12110
France,1976,11471
France,1977,11811
France,1978,11445
France,1979,11303
France,1980,11000
France,1981,10945
France,1982,10681
France,1983,11147
France,1984,11333
France,1985,12050
France,1986,12155
France,1987,12695
France,1988,12437
France,1989,12592
France,1990,12378
France,1991,12597
France,1992,12539
France,1993,12638
France,1994,12519
France,1995,12419
France,1996,12916
France,1997,13252
France,1998,13251
France,1999,13592
France,2000,13870
France,2001,13499
France,2002,13519
France,2003,13511
France,2004,14230
France,2005,14327
France,2006,14529
France,2007,14722
France,2008,14658
France,2009,14100
France,2010,14748
France,2011,14655
France,2012,14540
Russian Federation,1960,
Russian Federation,1961,
Russian Federation,1962,
Russian Federation,1963,
Russian Federation,1964,
Russian Federation,1965,
Russian Federation,1966,
Russian Federation,1967,
Russian Federation,1968,
Russian Federation,1969,
Russian Federation,1970,
Russian Federation,1971,
Russian Federation,1972,
Russian Federation,1973,
Russian Federation,1974,
Russian Federation,1975,
Russian Federation,1976,
Russian Federation,1977,
Russian Federation,1978,
Russian Federation,1979,
Russian Federation,1980,
Russian Federation,1981,
Russian Federation,1982,
Russian Federation,1983,
Russian Federation,1984,
Russian Federation,1985,
Russian Federation,1986,
Russian Federation,1987,
Russian Federation,1988,
Russian Federation,1989,
Russian Federation,1990,
Russian Federation,1991,906
Russian Federation,1992,39494
Russian Federation,1993,28503
Russian Federation,1994,21250
Russian Federation,1995,17551
Russian Federation,1996,18014
Russian Federation,1997,15106
Russian Federation,1998,16454
Russian Federation,1999,19900
Russian Federation,2000,23377
Russian Federation,2001,24777
Russian Federation,2002,23712
Russian Federation,2003,24969
Russian Federation,2004,22985
Russian Federation,2005,23644
Russian Federation,2006,27884
Russian Federation,2007,27505
Russian Federation,2008,27712
Russian Federation,2009,25598
Russian Federation,2010,28722
Russian Federation,2011,26495
Russian Federation,2012,28701
China,1960,
China,1961,
China,1962,
China,1963,
China,1964,
China,1965,
China,1966,
China,1967,
China,1968,
China,1969,
China,1970,
China,1971,
China,1972,
China,1973,
China,1974,
China,1975,
China,1976,
China,1977,
China,1978,
China,1979,
China,1980,
China,1981,
China,1982,
China,1983,
China,1984,
China,1985,4065
China,1986,3494
China,1987,3975
China,1988,
China,1989,4749
China,1990,5832
China,1991,7372
China,1992,10022
China,1993,12084
China,1994,11191
China,1995,10011
China,1996,11628
China,1997,12672
China,1998,13751
China,1999,15626
China,2000,25346
China,2001,30038
China,2002,39806
China,2003,56769
China,2004,65786
China,2005,93485
China,2006,122318
China,2007,153060
China,2008,194579
China,2009,229096
China,2010,293066
China,2011,415829
China,2012,535313
Germany,1960,
Germany,1961,
Germany,1962,
Germany,1963,36108
Germany,1964,37861
Germany,1965,38148
Germany,1966,36861
Germany,1967,37102
Germany,1968,34005
Germany,1969,33094
Germany,1970,32772
Germany,1971,32874
Germany,1972,33381
Germany,1973,31909
Germany,1974,30534
Germany,1975,30198
Germany,1976,31065
Germany,1977,30247
Germany,1978,30308
Germany,1979,30879
Germany,1980,28683
Germany,1981,29841
Germany,1982,30668
Germany,1983,31658
Germany,1984,31984
Germany,1985,32202
Germany,1986,32169
Germany,1987,31597
Germany,1988,31912
Germany,1989,31171
Germany,1990,30724
Germany,1991,32256
Germany,1992,33919
Germany,1993,34752
Germany,1994,36715
Germany,1995,38103
Germany,1996,42322
Germany,1997,44438
Germany,1998,46523
Germany,1999,50029
Germany,2000,51736
Germany,2001,49989
Germany,2002,47598
Germany,2003,47818
Germany,2004,48448
Germany,2005,48367
Germany,2006,48012
Germany,2007,47853
Germany,2008,49240
Germany,2009,47859
Germany,2010,47047
Germany,2011,46986
Germany,2012,46620
